name,date,pressure
Bemidji,"2021-10-30 14:15:00",29.79
Bemidji,"2021-10-30 14:35:00",29.8
Bemidji,"2021-10-30 14:55:00",29.8
Bemidji,"2021-10-30 15:15:00",29.8
Bemidji,"2021-10-30 15:35:00",29.82
Bemidji,"2021-10-30 15:55:00",29.83
Bemidji,"2021-10-30 16:15:00",29.84
Bemidji,"2021-10-30 16:35:00",29.85
Bemidji,"2021-10-30 16:55:00",29.86
Bemidji,"2021-10-30 17:15:00",29.87
Bemidji,"2021-10-30 17:35:00",29.87
Bemidji,"2021-10-30 17:55:00",29.88
Bemidji,"2021-10-30 18:15:00",29.89
Bemidji,"2021-10-30 18:35:00",29.89
Bemidji,"2021-10-30 18:55:00",29.9
Bemidji,"2021-10-30 19:15:00",29.91
Bemidji,"2021-10-30 19:35:00",29.92
Bemidji,"2021-10-30 19:55:00",29.92
Bemidji,"2021-10-30 20:15:00",29.93
Bemidji,"2021-10-30 20:35:00",29.93
Bemidji,"2021-10-30 20:55:00",29.94
Bemidji,"2021-10-30 21:15:00",29.94
Bemidji,"2021-10-30 21:35:00",29.95
Bemidji,"2021-10-30 21:55:00",29.96
Bemidji,"2021-10-30 22:15:00",29.97
Bemidji,"2021-10-30 22:35:00",29.97
Bemidji,"2021-10-30 22:55:00",29.98
Bemidji,"2021-10-30 23:15:00",29.99
Bemidji,"2021-10-30 23:35:00",29.99
Bemidji,"2021-10-30 23:55:00",29.99
Bemidji,"2021-10-31 00:15:00",29.99
Bemidji,"2021-10-31 00:35:00",30
Bemidji,"2021-10-31 00:55:00",30
Bemidji,"2021-10-31 01:15:00",30
Bemidji,"2021-10-31 01:35:00",30
Bemidji,"2021-10-31 01:55:00",30.01
Bemidji,"2021-10-31 02:15:00",30.01
Bemidji,"2021-10-31 02:35:00",30.01
Bemidji,"2021-10-31 02:55:00",30.02
Bemidji,"2021-10-31 03:15:00",30.02
Bemidji,"2021-10-31 03:35:00",30.02
Bemidji,"2021-10-31 03:55:00",30.02
Bemidji,"2021-10-31 04:15:00",30.02
Bemidji,"2021-10-31 04:35:00",30.02
Bemidji,"2021-10-31 04:55:00",30.02
Bemidji,"2021-10-31 05:15:00",30.03
Bemidji,"2021-10-31 05:35:00",30.03
Bemidji,"2021-10-31 05:55:00",30.03
Bemidji,"2021-10-31 06:15:00",30.03
Bemidji,"2021-10-31 06:35:00",30.03
Bemidji,"2021-10-31 06:55:00",30.03
Bemidji,"2021-10-31 07:15:00",30.04
Bemidji,"2021-10-31 07:35:00",30.04
Bemidji,"2021-10-31 07:55:00",30.04
Bemidji,"2021-10-31 08:15:00",30.05
Bemidji,"2021-10-31 08:35:00",30.05
Bemidji,"2021-10-31 08:55:00",30.06
Bemidji,"2021-10-31 09:15:00",30.06
Bemidji,"2021-10-31 09:35:00",30.07
Bemidji,"2021-10-31 09:55:00",30.07
Bemidji,"2021-10-31 10:15:00",30.07
Bemidji,"2021-10-31 10:35:00",30.07
Bemidji,"2021-10-31 10:55:00",30.08
Bemidji,"2021-10-31 11:15:00",30.09
Bemidji,"2021-10-31 11:35:00",30.09
Bemidji,"2021-10-31 11:55:00",30.09
Bemidji,"2021-10-31 12:15:00",30.09
Bemidji,"2021-10-31 12:35:00",30.09
Bemidji,"2021-10-31 12:55:00",30.09
Bemidji,"2021-10-31 13:15:00",30.09
Bemidji,"2021-10-31 13:35:00",30.08
Bemidji,"2021-10-31 13:55:00",30.08
Bemidji,"2021-10-31 14:15:00",30.07
Bemidji,"2021-10-31 14:35:00",30.08
Bemidji,"2021-10-31 14:55:00",30.07
Bemidji,"2021-10-31 15:15:00",30.08
Bemidji,"2021-10-31 15:35:00",30.08
Bemidji,"2021-10-31 15:55:00",30.08
Bemidji,"2021-10-31 16:15:00",30.08
Bemidji,"2021-10-31 16:35:00",30.09
Bemidji,"2021-10-31 16:55:00",30.09
Bemidji,"2021-10-31 17:15:00",30.09
Bemidji,"2021-10-31 17:35:00",30.1
Bemidji,"2021-10-31 17:55:00",30.1
Bemidji,"2021-10-31 18:15:00",30.1
Bemidji,"2021-10-31 18:35:00",30.1
Bemidji,"2021-10-31 19:15:00",30.11
Bemidji,"2021-10-31 19:35:00",30.11
Bemidji,"2021-10-31 19:55:00",30.11
Bemidji,"2021-10-31 20:15:00",30.12
Bemidji,"2021-10-31 20:35:00",30.12
Bemidji,"2021-10-31 20:55:00",30.12
Bemidji,"2021-10-31 21:15:00",30.12
Bemidji,"2021-10-31 21:35:00",30.12
Bemidji,"2021-10-31 21:55:00",30.12
Bemidji,"2021-10-31 22:15:00",30.12
Bemidji,"2021-10-31 22:35:00",30.12
Bemidji,"2021-10-31 22:55:00",30.13
Bemidji,"2021-10-31 23:15:00",30.13
Bemidji,"2021-10-31 23:35:00",30.13
Bemidji,"2021-10-31 23:55:00",30.13
"Grand Rapids","2021-10-30 00:56:00",29.89
"Grand Rapids","2021-10-30 01:56:00",29.88
"Grand Rapids","2021-10-30 02:56:00",29.87
"Grand Rapids","2021-10-30 03:56:00",29.86
"Grand Rapids","2021-10-30 04:56:00",29.85
"Grand Rapids","2021-10-30 05:56:00",29.83
"Grand Rapids","2021-10-30 06:56:00",29.82
"Grand Rapids","2021-10-30 07:56:00",29.81
"Grand Rapids","2021-10-30 09:56:00",29.8
"Grand Rapids","2021-10-30 10:56:00",29.81
"Grand Rapids","2021-10-30 11:56:00",29.8
"Grand Rapids","2021-10-30 12:56:00",29.76
"Grand Rapids","2021-10-30 13:56:00",29.75
"Grand Rapids","2021-10-30 14:56:00",29.75
"Grand Rapids","2021-10-30 15:56:00",29.77
"Grand Rapids","2021-10-30 16:56:00",29.79
"Grand Rapids","2021-10-30 17:56:00",29.82
"Grand Rapids","2021-10-30 18:56:00",29.85
"Grand Rapids","2021-10-30 20:56:00",29.9
"Grand Rapids","2021-10-30 21:56:00",29.92
"Grand Rapids","2021-10-30 22:56:00",29.94
"Grand Rapids","2021-10-30 23:56:00",29.95
"Grand Rapids","2021-10-31 00:56:00",29.97
"Grand Rapids","2021-10-31 01:56:00",29.97
"Grand Rapids","2021-10-31 03:56:00",29.99
"Grand Rapids","2021-10-31 05:56:00",30.01
"Grand Rapids","2021-10-31 06:56:00",30.01
"Grand Rapids","2021-10-31 07:56:00",30.02
"Grand Rapids","2021-10-31 08:56:00",30.04
"Grand Rapids","2021-10-31 09:56:00",30.06
"Grand Rapids","2021-10-31 10:56:00",30.06
"Grand Rapids","2021-10-31 13:56:00",30.06
"Grand Rapids","2021-10-31 14:56:00",30.07
"Grand Rapids","2021-10-31 15:56:00",30.07
"Grand Rapids","2021-10-31 16:56:00",30.07
"Grand Rapids","2021-10-31 17:56:00",30.08
"Grand Rapids","2021-10-31 19:56:00",30.1
"Grand Rapids","2021-10-31 21:56:00",30.11
"Grand Rapids","2021-10-31 22:56:00",30.11
